original_filename,english_title,category_or_status,new_project_path_or_duplicate_of,sha256,source_archive_path,translation_note
roll_2_default.mp3,roll_2_default,sfx,assets/audio/admin/sfx/roll-2-default.mp3,f249b271d29a7259c235349b272ea23b2d83435b0dee4de9a6bff00e0e60d5a3,combined 6/roll_2_default.mp3,
sloistyiy-zvukovoy-dizayn-bolshogo-jutkogo-ventilyatora-blizkaya-pozitsiya.mp3,Layered Sound Design of a Large Creepy Fan - Close Position,sfx,assets/audio/admin/sfx/layered-sound-design-of-a-large-creepy-fan-close-position.mp3,2e5f23ff258c33336a7b6f6558d01add8e829bd29709434416f2043fe6fd8650,combined 6/sloistyiy-zvukovoy-dizayn-bolshogo-jutkogo-ventilyatora-blizkaya-pozitsiya.mp3,
sneaky_default.mp3,sneaky_default,sfx,assets/audio/admin/sfx/sneaky-default.mp3,77c549f7ce90237f9a505bc227821939d7c418199f9bbf9a77b1fa73e6d3c92e,combined 6/sneaky_default.mp3,
#U0417#U0432#U0443#U043a#U0438 #U041d#U043e#U0447#U043d#U044b#U0445 #U0414#U0436#U0443#U043d#U0433#U043b#U0435#U0439.mp3,Night Jungle Sounds,ambience,assets/audio/admin/ambience/night-jungle-sounds.mp3,25d169447bdc249f5f4680dab3d2ffa1b30ac268cda22c5a426e176f7e6c9c06,combined 7/#U0417#U0432#U0443#U043a#U0438 #U041d#U043e#U0447#U043d#U044b#U0445 #U0414#U0436#U0443#U043d#U0433#U043b#U0435#U0439.mp3,
#U041f#U043b#U0435#U043c#U044f #U0414#U043e#U0440#U0434#U0438#U044f.mp3,Dordia Tribe,music,assets/audio/admin/music/dordia-tribe.mp3,11946faa5fb76298f213b2f330b0531a554e77ffe5e8f7fca1e3e9a4555aa95a,combined 7/#U041f#U043b#U0435#U043c#U044f #U0414#U043e#U0440#U0434#U0438#U044f.mp3,
#U041f#U043e#U0434#U0437#U0435#U043c#U0435#U043b#U044c#U0435 #U0412#U043a#U0443#U0441#U043d#U043e#U0441#U0442#U0435#U0439 MainTheme.mp3,Delicious in Dungeon Main Theme,music,assets/audio/admin/music/delicious-in-dungeon-main-theme.mp3,a395ad76ffdf26576ff1844f026bf50353204abb10be650903201e9f393890fb,combined 7/#U041f#U043e#U0434#U0437#U0435#U043c#U0435#U043b#U044c#U0435 #U0412#U043a#U0443#U0441#U043d#U043e#U0441#U0442#U0435#U0439 MainTheme.mp3,
"#U0421#U0446#U0435#U043d#U0430, #U0434#U0432#U0438#U0436!.mp3","Scene, Action!",SKIPPED_EXACT_DUPLICATE,assets/audio/admin/music/delicious-in-dungeon-main-theme.mp3,a395ad76ffdf26576ff1844f026bf50353204abb10be650903201e9f393890fb,"combined 7/#U0421#U0446#U0435#U043d#U0430, #U0434#U0432#U0438#U0436!.mp3",
1-19 Swings and Roundabouts.mp3,1-19 Swings and Roundabouts,music,assets/audio/admin/music/1-19-swings-and-roundabouts.mp3,ef26d429404783d73737c0d282725a7446e49ea31cb59f7de0c4276016507ff4,combined 7/1-19 Swings and Roundabouts.mp3,
1-20 Tasukete.mp3,1-20 Tasukete,music,assets/audio/admin/music/1-20-tasukete.mp3,58cd5f538ff64e43b8feff97899e6f684bf284252eecfae5dc2f3b3cb29e07c1,combined 7/1-20 Tasukete.mp3,
2-10 Nanachi in the Dark.mp3,2-10 Nanachi in the Dark,music,assets/audio/admin/music/2-10-nanachi-in-the-dark.mp3,78d3e383e4fd51d56c8b7943dcebf537a7f6079cf16c2cc4f7f4b2b1006135db,combined 7/2-10 Nanachi in the Dark.mp3,
Credits song for my death Bossfight Remix.mp3,Credits song for my death Bossfight Remix,music,assets/audio/admin/music/credits-song-for-my-death-bossfight-remix.mp3,110f33318496314142002e3bba5a6f506a2a11f7b2236fc43887a10781be6394,combined 7/Credits song for my death Bossfight Remix.mp3,
fire_default.mp3,fire_default,sfx,assets/audio/admin/sfx/fire-default.mp3,4aab315d1aa30a44b4bff902033a7b057375b9ff116632326ba8677c45a36ce0,combined 7/fire_default.mp3,
freesound_community-i-know-86057.mp3,freesound_community-i-know-86057,music,assets/audio/admin/music/freesound-community-i-know-86057.mp3,d4f36b7b1ade934eb3dcf048d5496b73cc6c63e18240e9393ec13065f9b6de3b,combined 7/freesound_community-i-know-86057.mp3,
initiative_1_default.mp3,initiative_1_default,sfx,assets/audio/admin/sfx/initiative-1-default.mp3,48f8a762d9f73322af6847269389dbac37846365d1eb83138103592daa88da7f,combined 7/initiative_1_default.mp3,
lock_2_default.mp3,lock_2_default,sfx,assets/audio/admin/sfx/lock-2-default.mp3,ff231c6d3198c63689717184cde19d7a7e8f0ce8adc889dec845bc0ffd0336d3,combined 7/lock_2_default.mp3,
Made in Abyss OST - The Pit.mp3,Made in Abyss OST - The Pit,ambience,assets/audio/admin/ambience/made-in-abyss-ost-the-pit.mp3,d9ce0d80c218327055de0c0528c5720481238dbf61bb0283b5093bd124addc35,combined 7/Made in Abyss OST - The Pit.mp3,
martavalentinyi-wow-female-voice-156878.mp3,martavalentinyi-wow-female-voice-156878,voice,assets/audio/admin/voice/martavalentinyi-wow-female-voice-156878.mp3,e67e33bb6b174836137777b8fe6d8605bad818668fe6e23e812877290ee4a416,combined 7/martavalentinyi-wow-female-voice-156878.mp3,
Mechanicus OST  Children of Omnissiah Slow  Extended.mp3,Mechanicus OST  Children of Omnissiah Slow  Extended,music,assets/audio/admin/music/mechanicus-ost-children-of-omnissiah-slow-extended.mp3,8c5e15de6177f67700b52ddd4da3de96fc5cf53dccb37bf7274c11bfb0df2e93,combined 7/Mechanicus OST  Children of Omnissiah Slow  Extended.mp3,
write_1_default.mp3,write_1_default,sfx,assets/audio/admin/sfx/write-1-default.mp3,ce61e858ce9bf5460403e939656381018fd287be082e619cbc97f1d1123984ac,combined 7/write_1_default.mp3,
